"","Alistipes_putredinis_DSM_17216","Bacteroides_eggerthii_DSM_20697","Bacteroides_ovatus_ATCC_8483","Bacteroides_pectinophilus_ATCC_43243","Bacteroides_stercoris_ATCC_43183","Bifidobacterium_dentium_ATCC_27678","Bifidobacterium_gallicum_DSM_20093","Campylobacter_concisus_13826","Catenibacterium_mitsuokai_DSM_15897","Clostridium_leptum_DSM_753","Clostridium_perfringens_ATCC_13124","Clostridium_scindens_ATCC_35704","Clostridium_spiroforme_DSM_1552","Collinsella_aerofaciens_ATCC_25986","Coprococcus_eutactus_ATCC_27759","Dorea_formicigenerans_ATCC_27755","Dorea_longicatena_DSM_13814","Eubacterium_dolichum_DSM_3991","Lactobacillus_fermentum_IFO_3956","Lactobacillus_helveticus_DPC_4571","Lactobacillus_johnsonii_NCC_533","Methanosphaera_stadtmanae_DSM_3091","Parabacteroides_johnsonii_DSM_18315","Ruminococcus_gnavus_ATCC_29149","Subdoligranulum_variabile_DSM_15176"
"Alistipes_putredinis_DSM_17216",0,0,0.375,0.375,0.333333333333333,0.0416666666666667,0.166666666666667,0,0.416666666666667,0.416666666666667,0.166666666666667,0.416666666666667,0.5,0.375,0.333333333333333,0.166666666666667,0.458333333333333,0.208333333333333,0.208333333333333,0.0833333333333333,0.0833333333333333,0.208333333333333,0.0416666666666667,0.375,0.375
"Bacteroides_eggerthii_DSM_20697",0.168141592920354,0,0.247787610619469,0.0619469026548673,0.380530973451327,0.0884955752212389,0.132743362831858,0.0442477876106195,0.415929203539823,0.256637168141593,0.309734513274336,0.442477876106195,0.194690265486726,0.0619469026548673,0.47787610619469,0.36283185840708,0.460176991150442,0.31858407079646,0.274336283185841,0.20353982300885,0.20353982300885,0.123893805309735,0.0619469026548673,0.345132743362832,0.176991150442478
"Bacteroides_ovatus_ATCC_8483",0.0769230769230769,0.0989010989010989,0,0.0879120879120879,0.0549450549450549,0.142857142857143,0.263736263736264,0.0659340659340659,0.153846153846154,0.285714285714286,0.120879120879121,0.120879120879121,0.142857142857143,0.043956043956044,0.351648351648352,0.186813186813187,0.131868131868132,0.0989010989010989,0.142857142857143,0.10989010989011,0.120879120879121,0.0659340659340659,0.120879120879121,0.0769230769230769,0.164835164835165
"Bacteroides_pectinophilus_ATCC_43243",0.3125,0.03125,0.4375,0,0.46875,0,0,0.03125,0.46875,0.03125,0.34375,0.5,0.1875,0.0625,0.59375,0.46875,0.5,0.46875,0.3125,0.3125,0.3125,0.0625,0.03125,0.40625,0.25
"Bacteroides_stercoris_ATCC_43183",0.0579710144927536,0.0289855072463768,0,0.0869565217391304,0,0.101449275362319,0.246376811594203,0.0289855072463768,0.0869565217391304,0.27536231884058,0.130434782608696,0.101449275362319,0.115942028985507,0.072463768115942,0.333333333333333,0.115942028985507,0.115942028985507,0.072463768115942,0.0869565217391304,0.101449275362319,0.0579710144927536,0.072463768115942,0.101449275362319,0.0434782608695652,0.115942028985507
"Bifidobacterium_dentium_ATCC_27678",0.333333333333333,0,0.416666666666667,0.166666666666667,0.416666666666667,0,0.0555555555555556,0.0833333333333333,0.527777777777778,0.166666666666667,0.361111111111111,0.527777777777778,0.444444444444444,0.138888888888889,0.555555555555556,0.361111111111111,0.527777777777778,0.444444444444444,0.416666666666667,0.333333333333333,0.305555555555556,0.0555555555555556,0,0.5,0.25
"Bifidobacterium_gallicum_DSM_20093",0.177777777777778,0,0.311111111111111,0.0666666666666667,0.311111111111111,0,0,0,0.333333333333333,0.0666666666666667,0.2,0.355555555555556,0.0444444444444444,0.0222222222222222,0.355555555555556,0.177777777777778,0.333333333333333,0.355555555555556,0.133333333333333,0.177777777777778,0.2,0.155555555555556,0,0.311111111111111,0.0222222222222222
"Campylobacter_concisus_13826",0.333333333333333,0.0606060606060606,0.454545454545455,0.242424242424242,0.484848484848485,0.0606060606060606,0.0606060606060606,0,0.545454545454545,0.242424242424242,0.363636363636364,0.545454545454545,0.363636363636364,0.181818181818182,0.515151515151515,0.424242424242424,0.515151515151515,0.393939393939394,0.363636363636364,0.363636363636364,0.393939393939394,0.0909090909090909,0.0303030303030303,0.454545454545455,0.363636363636364
"Catenibacterium_mitsuokai_DSM_15897",0.0645161290322581,0.0645161290322581,0.32258064516129,0.129032258064516,0.387096774193548,0.32258064516129,0.0645161290322581,0.032258064516129,0,0.0645161290322581,0.258064516129032,0.032258064516129,0.0967741935483871,0.032258064516129,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.129032258064516,0.290322580645161,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.354838709677419,0.0645161290322581,0.0645161290322581
"Clostridium_leptum_DSM_753",0.0298507462686567,0.0298507462686567,0.358208955223881,0.119402985074627,0.507462686567164,0.119402985074627,0.134328358208955,0.26865671641791,0.283582089552239,0,0.164179104477612,0.402985074626866,0.0895522388059701,0.134328358208955,0.388059701492537,0.194029850746269,0.388059701492537,0.223880597014925,0.164179104477612,0.119402985074627,0.119402985074627,0.194029850746269,0.0298507462686567,0.26865671641791,0.0149253731343284
"Clostridium_perfringens_ATCC_13124",0,0,0.133333333333333,0.366666666666667,0.1,0.2,0.2,0.433333333333333,0.6,0.333333333333333,0,0.6,0.566666666666667,0.1,0.6,0.1,0.6,0.533333333333333,0.433333333333333,0.0333333333333333,0.333333333333333,0.1,0.266666666666667,0.533333333333333,0.466666666666667
